"Add Region","Add Region"
"Code","Code"
"Country","Country"
"Delete Region","Delete Region"
"Edit Region","Edit Region"
"Manage Regions","Manage Regions"
"Name","Name"
"Region does not exist","Region does not exist"
"Region Information","Region Information"
"Region was successfully deleted","Region was successfully deleted"
"Region was successfully saved","Region was successfully saved"
"Regions Manager","Regions Manager"
"Save Region","Save Region"
"The code must have between 1 and 32 characters","The code must have between 1 and 32 characters"
