"Add Region","Agregar Provincia"
"Code","Código"
"Country","País"
"Country model is invalid.","El Modelo de Datos del País no es válido."
"Delete Region","Borrar Provincia"
"Edit Region","Editar Provincia"
"Install","Instalar"
"Install Regions","Instalar Provincias"
"Manage Regions","Administrar Provincias"
"Name","Nombre"
"Region does not exist","La Provincia no existe"
"Region Information","Información de la Provincia"
"Region was successfully deleted","La Provincia fue borrada correctamente"
"Region was successfully saved","La Provincia fue guardada correctamente"
"Regions Installer","Instalador de Provincias"
"Regions Manager","Administrador de Provincias"
"Regions were successfully installed","Las Provincias fueron instaladas correctamente"
"Save And Continue Edit","Guardar y Continuar editando"
"Save Region","Guardar Provincia"
"Select Country","Seleccionar País"
"The code must have between 1 and 32 characters","El código debe tener entre 1 y 32 caracteres"
"Unable to find Regions for that Country","No se han encontrado Provincias para ese País"
